id;name;lat;lon;cat;subcat;url
73;Kępa Okrzewska - cmentarz protestancki;52.1347129;21.1530697;cmentarz;protestancki;
74;Kania Nowa - cmentarz protestancki;52.5214551;21.1195502;cmentarz;protestancki;
75;Miszory - cmentarz protestancki;52.3445424;20.3238487;cmentarz;protestancki;
76;Piaski Duchowne - cmentarz protestancki;52.3736604;20.3913116;cmentarz;protestancki;
77;Warszawa Bródno - cmentarz epidemiczny;52.2684988;21.0297954;cmentarz;epidemiczny;
78;Nowy Dwór Mazowiecki - cmentarz protestancki;52.4255751;20.7141799;cmentarz;protestancki;
79;Wierzbica - cmentarz epidemiczny;51.2570237;21.1037788;cmentarz;epidemiczny;
80;Katarzynów - cmentarz epidemiczny i wojenny;51.5654532;21.5275919;cmentarz;epidemiczny;
81;Agatówka - cmentarz wojenny i epidemiczny;50.6029066;22.0050573;cmentarz;epidemiczny;
82;Cmentarz protestancki w Czerwińsku nad Wisłą;52.3951459;20.3262091;cmentarz;protestancki;
83;Stupsk - stary cmentarz parafialny;53.02045;20.4303861;cmentarz;katolicki;
84;Cmentarz protestancki w Dębówce;52.1814582;20.3394055;cmentarz;protestancki;
85;Cmentarz protestancki w Elżbietowie;52.1796096;20.3684163;cmentarz;protestancki;
86;Brzozów Stary - kaplica grobowa;52.2953178;20.034256;cmentarz;katolicki;
87;Brzozów Stary - stary cmentarz parafialny;52.2938677;20.0313913;cmentarz;katolicki;
88;Iłów - cmentarz protestancki;52.340544;20.0367344;cmentarz;protestancki;
89;Łady - cmentarz protestancki;52.366982;20.076341;cmentarz;protestancki;
90;Cmentarz protestancki w Płatkownicy;52.673244;21.8404336;cmentarz;protestancki;
91;Sojkówek - cmentarz protestancki;52.65524;21.8276629;cmentarz;protestancki;
92;Władysławów - cmentarz protestancki;52.329661;20.353924;cmentarz;protestancki;
93;Paproć Duża - cmentarz protestancki;52.8666053;22.1452438;cmentarz;protestancki;
94;Wilkowice - cmentarz protestancki;51.8883964;16.5262158;cmentarz;protestancki;
95;Warszawa - cmentarz staroobrzędowców;52.2458415;21.0662591;cmentarz;katolicki;
96;Warszawa - cmentarz epidemiczny w Głodnej Wsi;52.2953328;21.0491662;cmentarz;epidemiczny;
97;Warszawa Białołęka - cmentarz protestancki w Augustówku;52.349946;21.0538467;cmentarz;protestancki;
98;Warszawa Białołęka - cmentarz protestancki w Brzezinach;52.3154833;21.0438335;cmentarz;protestancki;
99;Warszawa Białołęka - cmentarz protestancki w Kępie Tarchomińskiej;52.3461125;20.9290004;cmentarz;protestancki;
100;Marki (Pustelnik) - cmentarz protestancki;52.34494;21.10529;cmentarz;protestancki;
101;Michałów-Grabina - cmentarz protestancki;52.3646717;21.0152742;cmentarz;protestancki;
102;Aleksandrów - cmentarz protestancki;52.17884;21.23776;cmentarz;protestancki;
103;Jadów - cmentarz szkocki;52.4736625;21.6104705;cmentarz;protestancki;
104;Sarnaki - stary cmentarz katolicki;52.3115668;22.8856701;cmentarz;katolicki;
105;Jabłonna Lacka - cmentarz epidemiczny;52.46558;22.44452;cmentarz;epidemiczny;
106;Młynarze - cmentarz protestancki;52.5331785;21.3661735;cmentarz;protestancki;
107;Uzdowo - cmentarz protestancki;53.341847;20.1061158;cmentarz;protestancki;
108;Elbląg - cmentarz protestancki (ul. Obrońców Pokoju);54.18109;19.39788;cmentarz;protestancki;
109;Ciechanowiec - cmentarz protestancki;52.68452;22.518;cmentarz;protestancki;
110;Aleksandrów (Izabelin) - cmentarz protestancki;52.3995649;21.057483;cmentarz;protestancki;
111;Stanisławów Pierwszy - cmentarz protestancki;52.3891361;21.0338286;cmentarz;protestancki;
112;Józefów - cmentarz protestancki;52.3838094;21.0033653;cmentarz;protestancki;
113;Rajszew - cmentarz protestancki;52.3940459;20.8362467;cmentarz;protestancki;
114;Łomianki - cmentarz protestancki;52.3318658;20.8795142;cmentarz;protestancki;
115;Dziekanów Leśny - cmentarz protestancki;52.34437;20.85611;cmentarz;protestancki;
116;Karolinów - cmentarz protestancki;52.31694;20.39761;cmentarz;protestancki;
117;Kępa Kiełpińska - cmentarz protestancki;52.37124;20.88425;cmentarz;protestancki;
118;Famułki Łazowskie - cmentarz protestancki;52.32836;20.38397;cmentarz;protestancki;
119;Nowe Grochale - cmentarz protestancki;52.41642;20.58829;cmentarz;protestancki;
120;Sady - cmentarz protestancki;52.41172;20.64511;cmentarz;protestancki;
121;Radzymin - cmentarz protestancki;52.40793;21.17091;cmentarz;protestancki;
122;Kozienice - cmentarz Dehnów;51.58722;21.5550184;cmentarz;protestancki;
123;Holendry Kuźmińskie - cmentarz protestancki i wojenny;51.6444112;21.530327;cmentarz;protestancki;
124;Wilków nad Wisłą - cmentarz protestancki;52.40421;20.47463;cmentarz;protestancki;
125;Ciechanowiec - cmentarz prawosławny;52.68526;22.51976;cmentarz;protestancki;
126;Skierdy - cmentar mennonicki;52.40386;20.80967;cmentarz;protestancki;
127;Bąkowiec - cmentarz epidemiczny;51.49857;21.76088;cmentarz;epidemiczny;
128;Polesie - cmentarz protestancki;51.39824;21.77838;cmentarz;protestancki;
129;Kuroszów - cmentarz protestancki;51.39389;21.80015;cmentarz;protestancki;
130;Kazuń Nowy - cmentarz mennonicki;52.4179021;20.6906679;cmentarz;protestancki;
131;Nowy Modlin - cmentarz protestancki;52.452712;20.6896074;cmentarz;protestancki;
132;Tyborów - cmentarz protestancki;52.1609319;21.6624493;cmentarz;protestancki;
133;Arynów - cmentarz protestancki;52.20854;21.54371;cmentarz;protestancki;
134;Nowy Modlin - wojskowy cmentarz prawosławny;52.4561713;20.7082631;cmentarz;katolicki;
135;Skansen i cmentarz olęderski Wiączemin Polski;52.4441794;19.8755016;cmentarz;protestancki;
136;Cmentarz ewangelicko-augsburski w Starej Dąbrowie;51.80564;18.74487;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-starej-dabrowie/
137;Cmentarz ewangelicko-augsburski w Karolinie;51.83166;18.46901;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-karolinie/
138;Cmentarz ewangelicko-augsburski w Stanisławowie Studzińskim;51.67783;20.10527;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stanislawowie-studzinskim/
139;Cmentarz ewangelicko-augsburski w Stanisławowie Lipskim;51.70221;20.14008;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stanislawowie-lipskim/
140;Kwatera ewangelicka na cmentarzu w Radomsku;51.06322;19.45464;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/kwatera-ewangelicka-na-cmentarzu-w-radomsku/
141;Cmentarz ewangelicko-augsburski w Krzeczowie;51.1843;18.76682;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-krzeczowie/
142;Cmentarz ewangelicko-augsburski w Nepomucenowie;51.6614;19.99144;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-nepomucenowie/
143;Cmentarz ewangelicko-augsburski w Aleksandrowie;51.62769;19.86927;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-aleksandrowie/
144;Cmentarz ewangelicko-augsburski w Swobodzie;51.32885;18.48625;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-swobodzie/
145;Cmentarz ewangelicko-augsburski w Chociszewie;51.67795;20.08065;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-chociszewie/
146;Cmentarz ewangelicko-augsburski w Augustowie;51.28585;19.0777;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-augustowie-2/
147;Cmentarz ewangelicko-augsburski w Maksymowie;51.57645;19.87629;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-maksymowie/
148;Cmentarz ewangelicko-augsburski w Konradowie;51.09491;19.53334;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-konradowie/
149;Cmentarz ewangelicko-augsburski w Dziepółci;51.05157;19.52605;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-dziepolci/
150;Cmentarz ewangelicko-augsburski w Antoniowie;51.13423;19.56848;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-antoniowie/
151;Cmentarz ewangelicko-augsburski w Świniokierzu Włościańskim;51.6831;19.9875;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-swiniokierzu-wloscianskim/
152;Cmentarz ewangelicko-augsburski w Łasku;51.5921;19.14165;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-lasku/
153;Cmentarz ewangelicko-augsburski w Stanisławowie Pierwszym;51.29533;19.11765;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-stanislawowie-pierwszym/
154;Cmentarz ewangelicko-augsburski w Józefowie;51.13947;18.55281;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-jozefowie/
155;Cmentarz ewangelicko-augsburski w Rakowie;51.43753;19.7196;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-rakowie/
156;Cmentarz ewangelicko-augsburski w Konstantynowie;51.08872;19.10285;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-konstantynowie-2/
157;Cmentarz ewangelicko-augsburski w Woli Mikorskiej;51.39752;19.3209;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-woli-mikorskiej/
158;Cmentarz ewangelicko-augsburski w Hucie Brudzkiej;51.18269;19.39784;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-hucie-brudzkiej/
159;Cmentarz ewangelicko-augsburski w Łaznowskiej Woli;51.66532;19.7404;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-laznowskiej-woli/
160;Cmentarz ewangelicko-augsburski w Oprzężowie;51.39741;19.55944;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-oprzezowie/
161;Cmentarz ewangelicko-augsburski w Popielawach;51.61733;19.83952;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-popielawach/
162;Cmentarz ewangelicko-augsburski w Żakowicach;51.73964;19.79293;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zakowicach/
163;Cmentarz ewangelicko-augsburski w Żabieńcu;51.80918;19.41214;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zabiencu/
164;Cmentarz ewangelicko-augsburski w Zofiówce;51.60646;19.45346;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zofiowce/
165;Cmentarz ewangelicko-augsburski w Zimnych;52.06335;19.02172;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zimnych/
166;Cmentarz ewangelicko-augsburski w Zielonej Górze;51.70038;19.6955;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zielonej-gorze/
167;Cmentarz ewangelicko-augsburski w Zgórzu;52.2712;19.09078;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zgorzu/
168;Cmentarz ewangelicko-augsburski w Zgierzu;51.85642;19.42809;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zgierzu/
169;Cmentarz ewangelicko-augsburski w Zborowskich;51.66414;18.8252;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zborowskich/
170;Cmentarz ewangelicko-augsburski w Zawadach;52.05004;19.9569;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zawadach-2/
171;Cmentarz ewangelicko-augsburski w Zawadach;51.39239;19.36749;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zawadach/
172;Cmentarz ewangelicko-augsburski w Zabłotach;51.52018;19.26565;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-zablotach/
173;Cmentarz ewangelicko-augsburski w Wytrzyszczkach;51.94917;19.23809;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wytrzyszczkach/
174;Cmentarz ewangelicko-augsburski w Wysieradzu;51.68227;19.22467;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wysieradzu/
175;Cmentarz ewangelicko-augsburski w Wymysłowie Francuskim;51.67601;19.23422;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wymyslowie-francuskim/
176;Cmentarz ewangelicko-augsburski w Wyknie;51.62923;19.91899;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wyknie/
177;Cmentarz ewangelicko-augsburski w Wygorzelach;52.19643;19.05769;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wygorzelach/
178;Cmentarz ewangelicko-augsburski w Wolnicy Grabowskiej;51.43959;18.75166;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wolnicy-grabowskiej/
179;Cmentarz ewangelicko-augsburski w Woli Rakowej;51.67409;19.60877;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-woli-rakowej/
180;Cmentarz ewangelicko-augsburski w Woli Będkowskiej;51.48782;18.74586;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-woli-bedkowskiej/
181;Cmentarz ewangelicko-augsburski w Władysławowie;51.97944;19.49962;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wladyslawowie/
182;Cmentarz ewangelicko-augsburski w Wilkowie;51.8337;19.06013;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wilkowie/
183;Cmentarz ewangelicko-augsburski w Wilczycy;51.85162;19.04817;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wilczycy/
184;Cmentarz ewangelicko-augsburski w Wiączyniu Górnym;51.7634;19.61499;cmentarz;protestancki;https://osadnicy.info/miejsca/cmentarze/cmentarz-ewangelicko-augsburski-w-wiaczyniu-gornym/
